Influencer,Username,Cidade,Investimento,Reels,Stories,Feed,Tiktok,Impacto Bruto,Impressoes,Interacoes,Cliques,Interacoes Tiktok,Impacto Bruto Tiktok,Cliques Tiktok,Impressoes Tiktok,Data de Postagem,Url Foto Perfil
Carol Facco,carolina.facco,São Paulo,4000,0,9,0,0,24900,4319,38,3,0,0,0,0,,https://yt3.googleusercontent.com/0yR3_qMbam7LwU7K3dp5WrwGQLl4VxO0DB85CaQFU2fBlZ2HnOEYCfKbKTkqc1JHPamwu2Yt=s900-c-k-c0x00ffffff-no-rj
Eduardo Adriano,eduardo_adriano,São Paulo,5000,0,9,0,0,49300,4691,206,29,0,0,0,0,,https://media.licdn.com/dms/image/D4D03AQG5OvI8_16txg/profile-displayphoto-shrink_200_200/0/1671745958104?e=2147483647&v=beta&t=vxqEBhc2CqCqJTe4ZaWWcZIEoa5QybYHtqqUDAsVQ5o
Felipe Lombardi,lombardifelipe,São Paulo,5500,1,6,0,0,53400,25921,1098,12,0,0,0,0,,https://static.poder360.com.br/2023/12/felipe-lombardi-848x477.jpeg
Gabi Bridi,gabi_bridi,Rio de Janeiro,5000,0,9,0,0,39000,5319,70,9,0,0,0,0,,https://yt3.googleusercontent.com/0Ablq-ikHzDcSeWROuv74RoUre4LpINxZ1ZaUZ3uT-I_8ojbDQGX8gcl-7AHr2wiRAjIdlkBy_o=s900-c-k-c0x00ffffff-no-rj
André Marinho,abmarinho,Rio de Janeiro,35000,1,12,0,0,334000,60658,1329,33,0,0,0,0,,https://www.publishnews.com.br/estaticos/uploads/2022/09/FJGibbldsRncXijJHOUL9wuWN1tZb7fuOgF8DDjtyVcdSiKLUiO3Y1efVUFkBW9YM4Hp4EiUG1pADjFj.jpg
