Influencer,Username,Cidade,Investimento,Reels,Stories,Feed,Tiktok,Impacto Bruto,Impressoes,Interacoes,Cliques,Interacoes Tiktok,Impacto Bruto Tiktok,Cliques Tiktok,Impressoes Tiktok,Data de Postagem,Url Foto Perfil
Carol Facco,carolina.facco,São Paulo,4000,0,9,0,0,24900,4319,38,3,0,0,0,0,,https://yt3.googleusercontent.com/0yR3_qMbam7LwU7K3dp5WrwGQLl4VxO0DB85CaQFU2fBlZ2HnOEYCfKbKTkqc1JHPamwu2Yt=s900-c-k-c0x00ffffff-no-rj
Eduardo Adriano,eduardo_adriano,São Paulo,5000,0,9,0,0,49300,4691,206,29,0,0,0,0,,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.linkedin.com%2Fposts%2Feduardo-adriano-9b066525b_publica%25C3%25A7%25C3%25B5es-networking-gq-activity-7070363291859976192-9ofx&psig=AOvVaw3_Z4W2SanSFZNrsP-Nzz9T&ust=1724466971248000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCLix2puKiogDFQAAAAAdAAAAABAI
Felipe Lombardi,lombardifelipe,São Paulo,5500,1,6,0,0,53400,25921,1098,12,0,0,0,0,,https://www.google.com/url?sa=i&url=https%3A%2F%2Fclacri.com.br%2F2015%2F07%2F17%2Ffelipe-lombardi-comemora-aniversario-com-amigos-em-sao-paulo%2F&psig=AOvVaw2QywHficH-l23Vf88m8sQQ&ust=1724467371790000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCOi1sduLiogDFQAAAAAdAAAAABAJ
Gabi Bridi,gabi_bridi,Rio de Janeiro,5000,0,9,0,0,39000,5319,70,9,0,0,0,0,,https://yt3.googleusercontent.com/0Ablq-ikHzDcSeWROuv74RoUre4LpINxZ1ZaUZ3uT-I_8ojbDQGX8gcl-7AHr2wiRAjIdlkBy_o=s900-c-k-c0x00ffffff-no-rj
André Marinho,abmarinho,Rio de Janeiro,35000,1,12,0,0,334000,60658,1329,33,0,0,0,0,,https://www.google.com/url?sa=i&url=https%3A%2F%2Foglobo.globo.com%2Fcultura%2Fandre-marinho-humorista-que-imitou-bolsonaro-em-jantar-para-temer-nao-quero-ficar-so-pregando-para-convertido-25199119&psig=AOvVaw2tVFU-dbN9NLUXzPbGP8wl&ust=1724466631569000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCODxzvmIiogDFQAAAAAdAAAAABAr
